Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_92_477,VGND,li1,227.7000,261.1200,0.000077
FILLER_92_474,VGND,li1,224.0200,261.1200,0.000077
FILLER_92_466,VGND,li1,221.7200,261.1200,0.000077
FILLER_92_421,VGND,li1,201.9400,261.1200,0.000072
FILLER_92_414,VGND,li1,197.3400,261.1200,0.000069
FILLER_92_365,VGND,li1,173.8800,261.1200,0.000061
FILLER_92_328,VGND,li1,156.6300,261.1200,0.000108
FILLER_92_288,VGND,li1,138.2300,261.1200,0.000139
FILLER_92_262,VGND,li1,126.2700,261.1200,0.000151
FILLER_92_222,VGND,li1,108.1000,261.1200,0.000154
FILLER_92_194,VGND,li1,95.2200,261.1200,0.000145
FILLER_92_176,VGND,li1,86.9400,261.1200,0.000135
FILLER_92_168,VGND,li1,84.6400,261.1200,0.000132
FILLER_92_141,VGND,li1,70.8400,261.1200,0.000110
FILLER_92_129,VGND,li1,65.3200,261.1200,0.000099
FILLER_92_121,VGND,li1,63.0200,261.1200,0.000096
FILLER_92_109,VGND,li1,58.4200,261.1200,0.000084
FILLER_92_97,VGND,li1,52.9000,261.1200,0.000076
FILLER_92_85,VGND,li1,47.3800,261.1200,0.000064
FILLER_92_83,VGND,li1,43.9300,261.1200,0.000054
FILLER_92_77,VGND,li1,42.3200,261.1200,0.000054
FILLER_92_65,VGND,li1,38.1800,261.1200,0.000046
FILLER_92_53,VGND,li1,32.6600,261.1200,0.000035
FILLER_92_41,VGND,li1,27.1400,261.1200,0.000024
FILLER_92_29,VGND,li1,21.6200,261.1200,0.000020
FILLER_92_27,VGND,li1,18.1700,261.1200,0.000020
FILLER_92_15,VGND,li1,15.1800,261.1200,0.000020
FILLER_92_3,VGND,li1,9.6600,261.1200,0.000020
FILLER_91_561,VGND,li1,263.8100,261.1200,0.000077
FILLER_91_559,VGND,li1,262.8900,261.1200,0.000077
FILLER_91_553,VGND,li1,261.2800,261.1200,0.000077
FILLER_91_541,VGND,li1,257.1400,261.1200,0.000077
FILLER_91_529,VGND,li1,251.6200,261.1200,0.000077
FILLER_91_517,VGND,li1,246.1000,261.1200,0.000077
FILLER_91_505,VGND,li1,240.5800,261.1200,0.000077
FILLER_91_500,VGND,li1,236.4400,261.1200,0.000077
FILLER_91_488,VGND,li1,232.7600,261.1200,0.000077
FILLER_91_476,VGND,li1,227.2400,261.1200,0.000077
FILLER_91_420,VGND,li1,201.4800,261.1200,0.000072
FILLER_91_408,VGND,li1,195.9600,261.1200,0.000069
FILLER_91_388,VGND,li1,184.9200,261.1200,0.000056
FILLER_91_361,VGND,li1,172.0400,261.1200,0.000067
FILLER_91_326,VGND,li1,155.7100,261.1200,0.000108
FILLER_91_225,VGND,li1,109.2500,261.1200,0.000155
FILLER_91_218,VGND,li1,106.4900,261.1200,0.000154
FILLER_91_198,VGND,li1,97.5200,261.1200,0.000148
FILLER_91_177,VGND,li1,87.1700,261.1200,0.000135
FILLER_91_169,VGND,li1,85.1000,261.1200,0.000132
FILLER_91_167,VGND,li1,82.5700,261.1200,0.000129
FILLER_91_159,VGND,li1,80.5000,261.1200,0.000126
FILLER_91_133,VGND,li1,67.1600,261.1200,0.000104
FILLER_91_125,VGND,li1,64.8600,261.1200,0.000099
FILLER_91_113,VGND,li1,60.2600,261.1200,0.000090
FILLER_91_111,VGND,li1,56.8100,261.1200,0.000080
FILLER_91_105,VGND,li1,55.2000,261.1200,0.000080
FILLER_91_93,VGND,li1,51.0600,261.1200,0.000072
FILLER_91_81,VGND,li1,45.5400,261.1200,0.000059
FILLER_91_69,VGND,li1,40.0200,261.1200,0.000050
FILLER_91_57,VGND,li1,34.5000,261.1200,0.000039
FILLER_91_55,VGND,li1,31.0500,261.1200,0.000030
FILLER_91_51,VGND,li1,29.9000,261.1200,0.000030
FILLER_91_39,VGND,li1,26.2200,261.1200,0.000020
FILLER_91_27,VGND,li1,20.7000,261.1200,0.000020
FILLER_91_15,VGND,li1,15.1800,261.1200,0.000020
FILLER_91_3,VGND,li1,9.6600,261.1200,0.000020
FILLER_90_561,VGND,li1,263.8100,255.6800,0.000087
FILLER_90_557,VGND,li1,262.6600,255.6800,0.000087
FILLER_90_545,VGND,li1,258.9800,255.6800,0.000087
FILLER_90_533,VGND,li1,253.4600,255.6800,0.000087
FILLER_90_531,VGND,li1,250.0100,255.6800,0.000087
FILLER_90_525,VGND,li1,248.4000,255.6800,0.000087
FILLER_90_513,VGND,li1,244.2600,255.6800,0.000087
FILLER_90_501,VGND,li1,238.7400,255.6800,0.000087
FILLER_90_489,VGND,li1,233.2200,255.6800,0.000087
FILLER_90_477,VGND,li1,227.7000,255.6800,0.000087
FILLER_90_475,VGND,li1,224.2500,255.6800,0.000087
FILLER_90_471,VGND,li1,223.1000,255.6800,0.000087
FILLER_90_433,VGND,li1,204.9300,255.6800,0.000074
FILLER_90_421,VGND,li1,201.9400,255.6800,0.000069
FILLER_90_418,VGND,li1,198.2600,255.6800,0.000064
FILLER_90_406,VGND,li1,195.0400,255.6800,0.000059
FILLER_90_394,VGND,li1,189.5200,255.6800,0.000051
FILLER_90_365,VGND,li1,174.3400,255.6800,0.000049
FILLER_90_331,VGND,li1,158.0100,255.6800,0.000081
FILLER_90_307,VGND,li1,146.9700,255.6800,0.000096
FILLER_90_293,VGND,li1,140.5300,255.6800,0.000100
FILLER_90_289,VGND,li1,139.3800,255.6800,0.000100
FILLER_90_261,VGND,li1,126.2700,255.6800,0.000108
FILLER_90_250,VGND,li1,120.9800,255.6800,0.000111
FILLER_90_237,VGND,li1,115.0000,255.6800,0.000111
FILLER_90_221,VGND,li1,107.8700,255.6800,0.000106
FILLER_90_181,VGND,li1,89.2400,255.6800,0.000091
FILLER_90_169,VGND,li1,86.0200,255.6800,0.000087
FILLER_90_141,VGND,li1,71.3000,255.6800,0.000070
FILLER_90_139,VGND,li1,69.6900,255.6800,0.000067
FILLER_90_133,VGND,li1,68.0800,255.6800,0.000067
FILLER_90_121,VGND,li1,63.9400,255.6800,0.000062
FILLER_90_109,VGND,li1,58.4200,255.6800,0.000054
FILLER_90_97,VGND,li1,52.9000,255.6800,0.000048
FILLER_90_85,VGND,li1,47.3800,255.6800,0.000041
FILLER_90_83,VGND,li1,43.9300,255.6800,0.000035
FILLER_90_77,VGND,li1,42.3200,255.6800,0.000035
FILLER_90_65,VGND,li1,38.1800,255.6800,0.000029
FILLER_90_53,VGND,li1,32.6600,255.6800,0.000022
FILLER_90_41,VGND,li1,27.1400,255.6800,0.000015
FILLER_90_29,VGND,li1,21.6200,255.6800,0.000013
FILLER_90_27,VGND,li1,18.1700,255.6800,0.000013
FILLER_90_15,VGND,li1,15.1800,255.6800,0.000013
FILLER_90_3,VGND,li1,9.6600,255.6800,0.000013
FILLER_89_561,VGND,li1,263.8100,255.6800,0.000087
FILLER_89_559,VGND,li1,262.8900,255.6800,0.000087
FILLER_89_553,VGND,li1,261.2800,255.6800,0.000087
FILLER_89_541,VGND,li1,257.1400,255.6800,0.000087
FILLER_89_529,VGND,li1,251.6200,255.6800,0.000087
FILLER_89_517,VGND,li1,246.1000,255.6800,0.000087
FILLER_89_505,VGND,li1,240.5800,255.6800,0.000087
FILLER_89_492,VGND,li1,234.6000,255.6800,0.000087
FILLER_89_480,VGND,li1,229.0800,255.6800,0.000087
FILLER_89_468,VGND,li1,223.5600,255.6800,0.000087
FILLER_89_449,VGND,li1,212.2900,255.6800,0.000082
FILLER_89_439,VGND,li1,207.6900,255.6800,0.000077
FILLER_89_429,VGND,li1,203.5500,255.6800,0.000069
FILLER_89_417,VGND,li1,200.1000,255.6800,0.000067
