Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_92_513,VPWR,li1,244.2600,263.8400,1.799923
FILLER_92_501,VPWR,li1,238.7400,263.8400,1.799923
FILLER_92_489,VPWR,li1,233.2200,263.8400,1.799923
FILLER_92_477,VPWR,li1,227.7000,263.8400,1.799923
FILLER_92_474,VPWR,li1,224.0200,263.8400,1.799923
FILLER_92_466,VPWR,li1,221.7200,263.8400,1.799923
FILLER_92_421,VPWR,li1,201.9400,263.8400,1.799928
FILLER_92_414,VPWR,li1,197.3400,263.8400,1.799931
FILLER_92_365,VPWR,li1,173.8800,263.8400,1.799947
FILLER_92_328,VPWR,li1,156.6300,263.8400,1.799910
FILLER_92_288,VPWR,li1,138.2300,263.8400,1.799884
FILLER_92_262,VPWR,li1,126.2700,263.8400,1.799877
FILLER_92_222,VPWR,li1,108.1000,263.8400,1.799872
FILLER_92_194,VPWR,li1,95.2200,263.8400,1.799879
FILLER_92_176,VPWR,li1,86.9400,263.8400,1.799885
FILLER_92_168,VPWR,li1,84.6400,263.8400,1.799889
FILLER_92_141,VPWR,li1,70.8400,263.8400,1.799905
FILLER_92_129,VPWR,li1,65.3200,263.8400,1.799913
FILLER_92_121,VPWR,li1,63.0200,263.8400,1.799917
FILLER_92_109,VPWR,li1,58.4200,263.8400,1.799926
FILLER_92_97,VPWR,li1,52.9000,263.8400,1.799933
FILLER_92_85,VPWR,li1,47.3800,263.8400,1.799942
FILLER_92_83,VPWR,li1,43.9300,263.8400,1.799950
FILLER_92_77,VPWR,li1,42.3200,263.8400,1.799950
FILLER_92_65,VPWR,li1,38.1800,263.8400,1.799956
FILLER_92_53,VPWR,li1,32.6600,263.8400,1.799965
FILLER_92_41,VPWR,li1,27.1400,263.8400,1.799975
FILLER_92_29,VPWR,li1,21.6200,263.8400,1.799984
FILLER_92_27,VPWR,li1,18.1700,263.8400,1.799984
FILLER_92_15,VPWR,li1,15.1800,263.8400,1.799984
FILLER_92_3,VPWR,li1,9.6600,263.8400,1.799984
FILLER_91_561,VPWR,li1,263.8100,258.4000,1.799933
FILLER_91_559,VPWR,li1,262.8900,258.4000,1.799933
FILLER_91_553,VPWR,li1,261.2800,258.4000,1.799933
FILLER_91_541,VPWR,li1,257.1400,258.4000,1.799933
FILLER_91_529,VPWR,li1,251.6200,258.4000,1.799933
FILLER_91_517,VPWR,li1,246.1000,258.4000,1.799933
FILLER_91_505,VPWR,li1,240.5800,258.4000,1.799933
FILLER_91_500,VPWR,li1,236.4400,258.4000,1.799933
FILLER_91_488,VPWR,li1,232.7600,258.4000,1.799933
FILLER_91_476,VPWR,li1,227.2400,258.4000,1.799933
FILLER_91_420,VPWR,li1,201.4800,258.4000,1.799938
FILLER_91_408,VPWR,li1,195.9600,258.4000,1.799941
FILLER_91_388,VPWR,li1,184.9200,258.4000,1.799947
FILLER_91_361,VPWR,li1,172.0400,258.4000,1.799948
FILLER_91_326,VPWR,li1,155.7100,258.4000,1.799893
FILLER_91_225,VPWR,li1,109.2500,258.4000,1.799840
FILLER_91_218,VPWR,li1,106.4900,258.4000,1.799841
FILLER_91_198,VPWR,li1,97.5200,258.4000,1.799851
FILLER_91_177,VPWR,li1,87.1700,258.4000,1.799863
FILLER_91_169,VPWR,li1,85.1000,258.4000,1.799866
FILLER_91_167,VPWR,li1,82.5700,258.4000,1.799870
FILLER_91_159,VPWR,li1,80.5000,258.4000,1.799873
FILLER_91_133,VPWR,li1,67.1600,258.4000,1.799894
FILLER_91_125,VPWR,li1,64.8600,258.4000,1.799900
FILLER_91_113,VPWR,li1,60.2600,258.4000,1.799907
FILLER_91_111,VPWR,li1,56.8100,258.4000,1.799917
FILLER_91_105,VPWR,li1,55.2000,258.4000,1.799917
FILLER_91_93,VPWR,li1,51.0600,258.4000,1.799924
FILLER_91_81,VPWR,li1,45.5400,258.4000,1.799937
FILLER_91_69,VPWR,li1,40.0200,258.4000,1.799945
FILLER_91_57,VPWR,li1,34.5000,258.4000,1.799955
FILLER_91_55,VPWR,li1,31.0500,258.4000,1.799964
FILLER_91_51,VPWR,li1,29.9000,258.4000,1.799964
FILLER_91_39,VPWR,li1,26.2200,258.4000,1.799971
FILLER_91_27,VPWR,li1,20.7000,258.4000,1.799981
FILLER_91_15,VPWR,li1,15.1800,258.4000,1.799981
FILLER_91_3,VPWR,li1,9.6600,258.4000,1.799981
FILLER_90_561,VPWR,li1,263.8100,258.4000,1.799933
FILLER_90_557,VPWR,li1,262.6600,258.4000,1.799933
FILLER_90_545,VPWR,li1,258.9800,258.4000,1.799933
FILLER_90_533,VPWR,li1,253.4600,258.4000,1.799933
FILLER_90_531,VPWR,li1,250.0100,258.4000,1.799933
FILLER_90_525,VPWR,li1,248.4000,258.4000,1.799933
FILLER_90_513,VPWR,li1,244.2600,258.4000,1.799933
FILLER_90_501,VPWR,li1,238.7400,258.4000,1.799933
FILLER_90_489,VPWR,li1,233.2200,258.4000,1.799933
FILLER_90_477,VPWR,li1,227.7000,258.4000,1.799933
FILLER_90_475,VPWR,li1,224.2500,258.4000,1.799933
FILLER_90_471,VPWR,li1,223.1000,258.4000,1.799933
FILLER_90_433,VPWR,li1,204.9300,258.4000,1.799936
FILLER_90_421,VPWR,li1,201.9400,258.4000,1.799938
FILLER_90_418,VPWR,li1,198.2600,258.4000,1.799939
FILLER_90_406,VPWR,li1,195.0400,258.4000,1.799941
FILLER_90_394,VPWR,li1,189.5200,258.4000,1.799945
FILLER_90_365,VPWR,li1,174.3400,258.4000,1.799956
FILLER_90_331,VPWR,li1,158.0100,258.4000,1.799902
FILLER_90_307,VPWR,li1,146.9700,258.4000,1.799874
FILLER_90_293,VPWR,li1,140.5300,258.4000,1.799862
FILLER_90_289,VPWR,li1,139.3800,258.4000,1.799862
FILLER_90_261,VPWR,li1,126.2700,258.4000,1.799843
FILLER_90_250,VPWR,li1,120.9800,258.4000,1.799836
FILLER_90_237,VPWR,li1,115.0000,258.4000,1.799835
FILLER_90_221,VPWR,li1,107.8700,258.4000,1.799840
FILLER_90_181,VPWR,li1,89.2400,258.4000,1.799861
FILLER_90_169,VPWR,li1,86.0200,258.4000,1.799866
FILLER_90_141,VPWR,li1,71.3000,258.4000,1.799889
FILLER_90_139,VPWR,li1,69.6900,258.4000,1.799889
FILLER_90_133,VPWR,li1,68.0800,258.4000,1.799894
FILLER_90_121,VPWR,li1,63.9400,258.4000,1.799900
FILLER_90_109,VPWR,li1,58.4200,258.4000,1.799913
FILLER_90_97,VPWR,li1,52.9000,258.4000,1.799921
FILLER_90_85,VPWR,li1,47.3800,258.4000,1.799931
FILLER_90_83,VPWR,li1,43.9300,258.4000,1.799941
FILLER_90_77,VPWR,li1,42.3200,258.4000,1.799941
FILLER_90_65,VPWR,li1,38.1800,258.4000,1.799948
FILLER_90_53,VPWR,li1,32.6600,258.4000,1.799959
FILLER_90_41,VPWR,li1,27.1400,258.4000,1.799971
FILLER_90_29,VPWR,li1,21.6200,258.4000,1.799981
FILLER_90_27,VPWR,li1,18.1700,258.4000,1.799981
FILLER_90_15,VPWR,li1,15.1800,258.4000,1.799981
FILLER_90_3,VPWR,li1,9.6600,258.4000,1.799981
FILLER_89_561,VPWR,li1,263.8100,252.9600,1.799929
FILLER_89_559,VPWR,li1,262.8900,252.9600,1.799929
FILLER_89_553,VPWR,li1,261.2800,252.9600,1.799929
FILLER_89_541,VPWR,li1,257.1400,252.9600,1.799929
FILLER_89_529,VPWR,li1,251.6200,252.9600,1.799929
FILLER_89_517,VPWR,li1,246.1000,252.9600,1.799929
FILLER_89_505,VPWR,li1,240.5800,252.9600,1.799929
FILLER_89_492,VPWR,li1,234.6000,252.9600,1.799929
FILLER_89_480,VPWR,li1,229.0800,252.9600,1.799929
FILLER_89_468,VPWR,li1,223.5600,252.9600,1.799929
FILLER_89_449,VPWR,li1,212.2900,252.9600,1.799932
FILLER_89_439,VPWR,li1,207.6900,252.9600,1.799936
FILLER_89_429,VPWR,li1,203.5500,252.9600,1.799943
FILLER_89_417,VPWR,li1,200.1000,252.9600,1.799945
FILLER_89_405,VPWR,li1,194.5800,252.9600,1.799952
FILLER_89_393,VPWR,li1,189.0600,252.9600,1.799958
FILLER_89_389,VPWR,li1,185.1500,252.9600,1.799964
FILLER_89_373,VPWR,li1,177.5600,252.9600,1.799971
FILLER_89_367,VPWR,li1,174.5700,252.9600,1.799975
FILLER_89_359,VPWR,li1,172.5000,252.9600,1.799972
FILLER_89_343,VPWR,li1,163.7600,252.9600,1.799961
FILLER_89_335,VPWR,li1,159.8500,252.9600,1.799957
FILLER_89_289,VPWR,li1,139.8400,252.9600,1.799939
FILLER_89_279,VPWR,li1,134.0900,252.9600,1.799936
FILLER_89_271,VPWR,li1,132.0200,252.9600,1.799935
FILLER_89_262,VPWR,li1,126.5000,252.9600,1.799933
FILLER_89_254,VPWR,li1,124.2000,252.9600,1.799932
FILLER_89_225,VPWR,li1,109.9400,252.9600,1.799927
FILLER_89_222,VPWR,li1,108.1000,252.9600,1.799926
FILLER_89_214,VPWR,li1,105.8000,252.9600,1.799925
FILLER_89_173,VPWR,li1,85.3300,252.9600,1.799922
FILLER_89_169,VPWR,li1,84.1800,252.9600,1.799922
FILLER_89_167,VPWR,li1,82.5700,252.9600,1.799924
FILLER_89_150,VPWR,li1,74.7500,252.9600,1.799932
FILLER_89_137,VPWR,li1,70.3800,252.9600,1.799937
FILLER_89_125,VPWR,li1,65.7800,252.9600,1.799941
FILLER_89_113,VPWR,li1,60.2600,252.9600,1.799947
FILLER_89_111,VPWR,li1,56.8100,252.9600,1.799953
FILLER_89_105,VPWR,li1,55.2000,252.9600,1.799953
FILLER_89_93,VPWR,li1,51.0600,252.9600,1.799957
FILLER_89_81,VPWR,li1,45.5400,252.9600,1.799964
FILLER_89_69,VPWR,li1,40.0200,252.9600,1.799969
FILLER_89_57,VPWR,li1,34.5000,252.9600,1.799975
FILLER_89_55,VPWR,li1,31.0500,252.9600,1.799980
FILLER_89_51,VPWR,li1,29.9000,252.9600,1.799980
FILLER_89_39,VPWR,li1,26.2200,252.9600,1.799983
FILLER_89_27,VPWR,li1,20.7000,252.9600,1.799989
