net,length_um
net1471,1.14179mm
net1434,1.10178mm
net1570,1.01646mm
clknet_0_clk,940.57µm
net1398,935.31µm
net1502,920.71µm
net1632,893.96µm
divider_instance.mantisaBshift\[15\],881.19µm
_03700_,872.25µm
net1417,847.9µm
_17657_,832.575µm
add_mantisa\[19\],832.06µm
net1442,823.44µm
_02749_,817.91µm
_17385_,813.13µm
add_mantisa\[22\],805.76µm
add_mantisa\[18\],799.84µm
_02673_,797.97µm
_02722_,796.675µm
add_mantisa\[16\],794.98µm
divider_instance.mantisaBshift\[23\],790.36µm
net1584,777.53µm
net1138,774.14µm
add_mantisa\[21\],773.81µm
net1151,769.63µm
net1158,766.48µm
divider_instance.mantisaBshift\[13\],758.8µm
add_mantisa\[20\],743.9µm
_17521_,735.91µm
net1725,726.77µm
net1615,724.23µm
net1112,719.9µm
clknet_2_0_0_clk,716.23µm
net1692,714.2µm
_02740_,712.36µm
net1426,709.74µm
net547,703.19µm
_17525_,701.11µm
clk,700.35µm
net1216,700.31µm
divider_instance.mantisaBshift\[8\],698.44µm
net769,693.94µm
net1165,685.83µm
net1721,684.78µm
_02701_,680.175µm
divider_instance.mantisaBshift\[21\],677.34µm
net585,677.07µm
clknet_2_3_0_clk,674.27µm
divider_instance.mantisaBshift\[6\],672.13µm
net1457,671.19µm
clknet_2_2_0_clk,670.24µm
clknet_2_1_0_clk,667.52µm
net819,663.35µm
net1719,661.19µm
_17660_,655.04µm
_21715_,654.685µm
add_mantisa\[17\],654.28µm
net1689,653.11µm
net839,652.51µm
net1760,650.15µm
net1728,649.43µm
net1170,645.85µm
net690,643.35µm
_17318_,638.57µm
net1695,628.42µm
net2014,626.13µm
add_exp\[1\],622.47µm
net1749,620.32µm
net1196,619.14µm
_17726_,616.52µm
net653,615.25µm
_03585_,612.11µm
net698,609.92µm
net1740,609.75µm
net1707,608.86µm
net1553,608.27µm
net891,606.965µm
divider_instance.mantisaBshift\[12\],606.36µm
_21631_,602.025µm
net1412,601.875µm
net1686,600.14µm
net1758,599.99µm
net1223,598.61µm
_21638_,596.34µm
net1773,594.81µm
_02715_,594.74µm
net1677,592.16µm
net1737,591.95µm
add_exp\[6\],591.11µm
net803,590.33µm
net660,588.44µm
_17659_,585.99µm
net1730,584.3µm
_02751_,583.45µm
_10341_,581.29µm
net25,579.2µm
_17725_,578.895µm
net1,578.6µm
net787,576.71µm
_21627_,576.4µm
add_exp\[4\],574.7µm
net702,573.59µm
net1485,570.89µm
net1752,570.08µm
net1766,566.36µm
net1169,565.24µm
net645,564.01µm
net1392,563.845µm
divider_instance.mantisaBshift\[16\],563.49µm
_17727_,561.165µm
net609,558.03µm
net1700,553.84µm
_02675_,553.36µm
_17658_,548.9µm
net823,545.78µm
net1680,544.52µm
net1389,544.32µm
net1693,544.21µm
net1710,544.06µm
_17317_,543.07µm
_02730_,541.015µm
net1542,539.92µm
net780,539.58µm
add_mantisa\[6\],536.48µm
net1102,534.525µm
add_mantisa\[4\],534.15µm
_17320_,533.8µm
net637,531.1µm
net851,528.83µm
net1508,527.38µm
net1763,526.66µm
net1452,524.16µm
net1037,521.7µm
net26,521.12µm
net574,520.2µm
net1124,519.27µm
net1145,519.07µm
net1641,518.1µm
net1747,517.75µm
net625,516.14µm
net1716,514.81µm
net1746,514.74µm
divider_instance.mantisaBshift\[19\],514.33µm
net291,514.11µm
net1698,513.68µm
net1292,513.26µm
net667,513.02µm
_17457_,511.19µm
_03010_,511.08µm
net582,509.26µm
net1753,508.56µm
