Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_197_1169,VGND,li1,543.9500,549.4400,0.000000
FILLER_197_1161,VGND,li1,541.4200,549.4400,0.000000
FILLER_197_1149,VGND,li1,536.8200,549.4400,0.000000
FILLER_197_1145,VGND,li1,532.9100,549.4400,0.000000
FILLER_197_1133,VGND,li1,529.4600,549.4400,0.000000
FILLER_197_1121,VGND,li1,523.9400,549.4400,0.000000
FILLER_197_1117,VGND,li1,520.0300,549.4400,0.000000
FILLER_197_1105,VGND,li1,516.5800,549.4400,0.000000
FILLER_197_1093,VGND,li1,511.0600,549.4400,0.000000
FILLER_197_1089,VGND,li1,507.1500,549.4400,0.000000
FILLER_197_1077,VGND,li1,503.7000,549.4400,0.000000
FILLER_197_1065,VGND,li1,498.1800,549.4400,0.000000
FILLER_197_1061,VGND,li1,494.2700,549.4400,0.000000
FILLER_197_1049,VGND,li1,490.8200,549.4400,0.000000
FILLER_197_1037,VGND,li1,485.3000,549.4400,0.000000
FILLER_197_1033,VGND,li1,481.3900,549.4400,0.000000
FILLER_197_1021,VGND,li1,477.9400,549.4400,0.000000
FILLER_197_1009,VGND,li1,472.4200,549.4400,0.000000
FILLER_197_1005,VGND,li1,468.5100,549.4400,0.000000
FILLER_197_993,VGND,li1,465.0600,549.4400,0.000000
FILLER_197_981,VGND,li1,459.5400,549.4400,0.000000
FILLER_197_977,VGND,li1,455.6300,549.4400,0.000000
FILLER_197_965,VGND,li1,452.1800,549.4400,0.000000
FILLER_197_953,VGND,li1,446.6600,549.4400,0.000000
FILLER_197_949,VGND,li1,442.7500,549.4400,0.000000
FILLER_197_937,VGND,li1,439.3000,549.4400,0.000000
FILLER_197_925,VGND,li1,433.7800,549.4400,0.000000
FILLER_197_921,VGND,li1,429.8700,549.4400,0.000000
FILLER_197_909,VGND,li1,426.4200,549.4400,0.000000
FILLER_197_897,VGND,li1,420.9000,549.4400,0.000000
FILLER_197_893,VGND,li1,416.9900,549.4400,0.000000
FILLER_197_881,VGND,li1,413.5400,549.4400,0.000000
FILLER_197_869,VGND,li1,408.0200,549.4400,0.000000
FILLER_197_865,VGND,li1,404.1100,549.4400,0.000000
