net,length_um
net447,207.19µm
net427,206.01µm
net484,205.9µm
net191,205.88µm
net252,205.82µm
net298,205.51µm
net546,205.36µm
net464,204.68µm
clknet_3_2__leaf_clk,204.635µm
net451,204.24µm
net482,203.835µm
net523,201.06µm
net290,200.66µm
net490,200.35µm
net352,199.73µm
net377,199.7µm
net411,199.47µm
net194,199.17µm
net170,199.16µm
net538,199.11µm
_0867_,199.07µm
net556,197.935µm
net547,197.595µm
clknet_3_5__leaf_clk,196.18µm
net369,196.13µm
net474,195.84µm
net444,194.2µm
net396,194.115µm
net392,192.24µm
net436,190.71µm
net418,190.425µm
net766,189.82µm
net158,189.78µm
net345,189.31µm
net175,188.86µm
net179,188.69µm
net432,186.905µm
net439,186.7µm
_0608_,185.5µm
net242,184.96µm
net294,184.77µm
net534,184.21µm
net531,182.94µm
net166,182.74µm
net456,182.57µm
net424,181.35µm
net509,180.85µm
net507,178.325µm
net356,177.11µm
net543,176.945µm
net416,176.16µm
net550,176.005µm
net266,175.78µm
net478,175.37µm
net466,173.96µm
net372,173.35µm
net544,173.105µm
net341,171.76µm
net230,171.57µm
net529,171.01µm
net449,170.01µm
net469,169.55µm
net711,169.18µm
net222,168.13µm
clknet_3_1__leaf_clk,167.675µm
net453,167.28µm
net461,167.24µm
_1153_,166.47µm
net155,166.15µm
net749,165.91µm
net400,165.07µm
net555,162.27µm
net338,161.47µm
net613,161.22µm
net462,159.01µm
net571,158.86µm
net641,158.405µm
net366,157.72µm
net470,157.03µm
net715,156.85µm
net296,155.89µm
net445,155.36µm
net452,155.14µm
net258,153.82µm
net384,153.68µm
net740,153.125µm
net764,152.25µm
net719,152.045µm
net262,150.22µm
net676,150.21µm
net535,150.2µm
_0864_,150.01µm
net234,149.43µm
net347,149.18µm
net480,148.34µm
net434,148.175µm
net602,147.68µm
net407,147.185µm
net575,146.96µm
net645,145.875µm
net703,144.515µm
net227,143.64µm
net457,143.36µm
net426,142.17µm
net651,142.15µm
net332,142.11µm
net343,141.85µm
net430,140.155µm
net721,139.96µm
net541,139.47µm
net648,138.665µm
net307,138.11µm
net649,137.275µm
net334,137.22µm
net524,137.14µm
net440,137.03µm
net236,136.34µm
net751,136.085µm
net553,134.945µm
net539,134.71µm
net707,134.56µm
net198,134.32µm
net669,134.28µm
net244,133.785µm
net224,133.625µm
net656,133.575µm
net733,133.545µm
net629,133.06µm
net232,132.7µm
net709,131.76µm
net615,131.12µm
net557,130.97µm
net32,130.84µm
_0862_,130.49µm
net516,128.86µm
_1588_,128.69µm
net729,128.44µm
net701,128.015µm
net754,127.915µm
net398,127.42µm
_1594_,127.34µm
net578,126.17µm
net219,126.08µm
net405,125.115µm
net530,124.99µm
net454,124.65µm
net685,124.63µm
net687,124.535µm
net413,124.26µm
clknet_leaf_57_clk,123.86µm
net737,123.565µm
net512,122.91µm
net697,122.72µm
net336,122.7µm
net256,122.5µm
net303,122.475µm
net239,121.45µm
net739,121.05µm
net758,120.625µm
net627,120.56µm
net659,119.91µm
net625,119.74µm
net565,119.6µm
net420,119.14µm
net760,119.08µm
net595,118.52µm
net635,118.095µm
net471,117.975µm
clknet_leaf_0_clk,117.82µm
net633,117.795µm
net579,116.14µm
net563,115.975µm
net631,115.895µm
net460,115.86µm
net741,115.6µm
net718,115.58µm
net657,115.56µm
net264,115.46µm
net96,115.13µm
net735,114.835µm
net762,113.25µm
net443,112.44µm
net573,112.28µm
net567,111.52µm
clknet_leaf_58_clk,111.28µm
net653,111.18µm
net699,111.045µm
net465,110.76µm
clknet_leaf_2_clk,110.65µm
net743,110.355µm
net311,110.29µm
net683,110.11µm
net691,109.59µm
net689,109.26µm
net601,108.52µm
net643,108.38µm
net591,108.2µm
net705,108.135µm
net448,107.56µm
net581,107.38µm
net673,107.28µm
net537,106.9µm
net713,106.62µm
clknet_leaf_62_clk,106.38µm
net211,106.37µm
net677,105.71µm
net637,105.41µm
_0607_,105.32µm
_1724_,105.28µm
net583,105.01µm
net44,104.95µm
net611,104.77µm
net260,104.74µm
net745,103.955µm
clknet_leaf_17_clk,103.88µm
clknet_leaf_52_clk,103.08µm
net532,102.45µm
net679,101.94µm
net585,101.9µm
net619,101.84µm
net603,101µm
net621,100.88µm
clknet_leaf_40_clk,100.56µm
net605,100.34µm
net599,100.22µm
net562,100.12µm
net675,99.755µm
clknet_leaf_38_clk,99.63µm
_0931_,99.095µm
net671,98.89µm
net364,98.44µm
net52,98.3µm
net76,98.29µm
net747,98.125µm
net700,97.71µm
clknet_leaf_50_clk,97.5µm
net639,97.25µm
_1733_,97.2µm
net91,97.05µm
net64,96.9µm
clknet_leaf_32_clk,96.83µm
net569,96.37µm
clknet_leaf_54_clk,95.84µm
net19,95.75µm
net217,95.64µm
net623,95.64µm
clknet_leaf_8_clk,95.6µm
net12,95.29µm
net6,94.83µm
clknet_leaf_41_clk,94.8µm
clknet_leaf_15_clk,94.36µm
_1218_,94.25µm
net617,94.04µm
net104,93.8µm
net67,93.42µm
tail\[1\],93.35µm
net724,93.225µm
net27,91.7µm
clknet_leaf_20_clk,91.6µm
net105,91.34µm
net695,91.31µm
net667,91.29µm
net661,91.045µm
net28,90.9µm
clknet_leaf_33_clk,90.72µm
_1372_,90.62µm
clknet_leaf_4_clk,90.59µm
net725,90.515µm
net597,90.44µm
net727,90.42µm
net607,90.265µm
net723,90.055µm
_0000_,89.87µm
net652,89.82µm
net35,89.62µm
net663,89.2µm
_1589_,88.88µm
clknet_leaf_26_clk,88.88µm
net742,88.76µm
tail\[0\],88.5µm
net704,87.16µm
net103,86.98µm
tail\[3\],86.66µm
clknet_leaf_60_clk,86.18µm
net75,86.1µm
clknet_leaf_13_clk,85.74µm
_1933_,85.68µm
net654,85.62µm
net642,85.56µm
clknet_leaf_3_clk,85.52µm
net53,85.23µm
net693,85.215µm
clknet_leaf_55_clk,84.93µm
clknet_leaf_23_clk,84.8µm
clknet_leaf_14_clk,84.66µm
net717,84.305µm
net587,84.07µm
net574,83.94µm
net83,83.76µm
net660,83.33µm
clknet_leaf_51_clk,83.22µm
clknet_leaf_9_clk,82.94µm
clknet_leaf_59_clk,82.84µm
clknet_leaf_56_clk,82.76µm
net647,82.725µm
_2023_,82.51µm
_1222_,82.2µm
net525,82.2µm
net690,82.195µm
net564,82.16µm
clknet_leaf_6_clk,82.02µm
net681,81.995µm
net589,81.55µm
_1744_,81.54µm
net686,81.425µm
net107,81.38µm
net710,81.315µm
_1866_,81.3µm
net85,80.46µm
net665,80.425µm
clknet_leaf_37_clk,80.14µm
net638,79.965µm
_0861_,79.84µm
clknet_leaf_44_clk,79.58µm
clknet_leaf_18_clk,79.4µm
_1293_,79.3µm
_0626_,79.14µm
net644,79.005µm
net1,78.94µm
net577,78.74µm
net716,78.66µm
net20,78.32µm
clknet_leaf_19_clk,78.22µm
net668,77.94µm
clknet_leaf_16_clk,77.9µm
_1366_,77.86µm
net614,77.66µm
net568,77.6µm
clknet_leaf_35_clk,77.34µm
net21,77.2µm
clknet_leaf_25_clk,77.04µm
net57,76.96µm
clknet_leaf_36_clk,76.71µm
net696,76.28µm
net60,76.24µm
net11,76.2µm
net714,76.2µm
_0587_,76.06µm
net731,75.985µm
net624,75.45µm
net630,75.425µm
net22,75.4µm
net720,74.96µm
_0001_,74.89µm
net36,74.81µm
net81,74.55µm
net706,74.52µm
_0609_,74.19µm
_1728_,74.12µm
net722,73.6µm
_1745_,73.34µm
clknet_leaf_49_clk,73.26µm
net79,73.03µm
net584,72.98µm
net608,72.88µm
net670,72.605µm
net757,72.46µm
net759,72.35µm
_1578_,72.2µm
net748,71.84µm
net49,71.82µm
_1371_,71.72µm
_0636_,71.635µm
_1743_,71.38µm
clknet_leaf_46_clk,71.22µm
clknet_leaf_43_clk,71.08µm
clknet_leaf_45_clk,71.08µm
net84,71µm
net628,70.885µm
net68,70.46µm
net680,69.96µm
net593,69.86µm
net92,69.7µm
net609,69.66µm
net59,69.6µm
clknet_leaf_31_clk,69.06µm
net594,68.78µm
_0937_,68.62µm
clknet_leaf_21_clk,68.54µm
net732,68.185µm
clknet_leaf_1_clk,68.08µm
net755,67.95µm
_1991_,67.94µm
clknet_leaf_64_clk,67.78µm
net620,67.74µm
clknet_leaf_53_clk,67.7µm
net590,67.68µm
net678,67.545µm
net559,67.42µm
net570,67.36µm
net596,67.3µm
net756,66.94µm
clknet_leaf_22_clk,66.84µm
net51,66.66µm
net572,66.62µm
net14,66.38µm
net730,66.38µm
net712,66.22µm
net646,66.2µm
_1140_,66.13µm
net8,66.1µm
net634,65.905µm
net698,65.895µm
net86,65.88µm
net267,65.66µm
net606,65.56µm
clknet_leaf_27_clk,65.54µm
net708,65.515µm
net734,65.4µm
net632,65.365µm
net728,65.21µm
net72,64.99µm
net40,64.88µm
net692,64.875µm
_1883_,64.87µm
net70,64.72µm
net55,64.575µm
net736,64.545µm
net604,64.54µm
net664,64.5µm
net31,64.44µm
_1595_,64.36µm
net576,64.11µm
_1370_,63.84µm
net592,63.62µm
net100,63.5µm
net582,63.45µm
net618,63.38µm
clknet_leaf_39_clk,62.96µm
_1864_,62.78µm
net650,62.615µm
