Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_195_237,VPWR,li1,117.3000,541.2800,1.791994
FILLER_195_225,VPWR,li1,111.7800,541.2800,1.792412
FILLER_195_221,VPWR,li1,107.8700,541.2800,1.792709
FILLER_195_209,VPWR,li1,104.4200,541.2800,1.792970
FILLER_195_197,VPWR,li1,98.9000,541.2800,1.793388
FILLER_195_193,VPWR,li1,94.9900,541.2800,1.793771
FILLER_195_181,VPWR,li1,91.5400,541.2800,1.793946
FILLER_195_169,VPWR,li1,86.0200,541.2800,1.794364
FILLER_195_165,VPWR,li1,82.1100,541.2800,1.794660
FILLER_195_153,VPWR,li1,78.6600,541.2800,1.794921
FILLER_195_141,VPWR,li1,73.1400,541.2800,1.795339
FILLER_195_137,VPWR,li1,69.2300,541.2800,1.795723
FILLER_195_125,VPWR,li1,65.7800,541.2800,1.795897
FILLER_195_113,VPWR,li1,60.2600,541.2800,1.796315
FILLER_195_109,VPWR,li1,56.3500,541.2800,1.796611
FILLER_195_97,VPWR,li1,52.9000,541.2800,1.796873
FILLER_195_85,VPWR,li1,47.3800,541.2800,1.797291
FILLER_195_81,VPWR,li1,43.4700,541.2800,1.797674
FILLER_195_69,VPWR,li1,40.0200,541.2800,1.797848
FILLER_195_57,VPWR,li1,34.5000,541.2800,1.798267
FILLER_195_53,VPWR,li1,30.5900,541.2800,1.798563
FILLER_195_41,VPWR,li1,27.1400,541.2800,1.798824
FILLER_195_29,VPWR,li1,21.6200,541.2800,1.799242
FILLER_195_27,VPWR,li1,18.1700,541.2800,1.799242
FILLER_195_15,VPWR,li1,15.1800,541.2800,1.799242
FILLER_195_3,VPWR,li1,9.6600,541.2800,1.799242
FILLER_194_1149,VPWR,li1,535.9000,541.2800,1.705959
FILLER_194_1147,VPWR,li1,533.3700,541.2800,1.705959
FILLER_194_1141,VPWR,li1,531.7600,541.2800,1.705959
FILLER_194_1129,VPWR,li1,527.6200,541.2800,1.705959
FILLER_194_1117,VPWR,li1,522.1000,541.2800,1.705959
FILLER_194_1105,VPWR,li1,516.5800,541.2800,1.705959
FILLER_194_1093,VPWR,li1,511.0600,541.2800,1.705959
FILLER_194_1091,VPWR,li1,507.6100,541.2800,1.705959
FILLER_194_1085,VPWR,li1,506.0000,541.2800,1.705959
FILLER_194_1073,VPWR,li1,501.8600,541.2800,1.705959
FILLER_194_1061,VPWR,li1,496.3400,541.2800,1.705959
FILLER_194_1049,VPWR,li1,490.8200,541.2800,1.705959
FILLER_194_1037,VPWR,li1,485.3000,541.2800,1.705959
FILLER_194_1035,VPWR,li1,481.8500,541.2800,1.686499
FILLER_194_1029,VPWR,li1,480.2400,541.2800,1.686499
FILLER_194_1017,VPWR,li1,476.1000,541.2800,1.647578
FILLER_194_1005,VPWR,li1,470.5800,541.2800,1.595684
FILLER_194_993,VPWR,li1,465.0600,541.2800,1.543790
FILLER_194_981,VPWR,li1,459.5400,541.2800,1.491896
FILLER_194_979,VPWR,li1,456.0900,541.2800,1.444326
FILLER_194_973,VPWR,li1,454.4800,541.2800,1.444326
FILLER_194_961,VPWR,li1,450.3400,541.2800,1.405406
