net,length_um
_1406_,75.665µm
mantisaresult\[53\],75.54µm
net204,74.98µm
mantisaresult\[11\],74.7µm
mantisaresult\[29\],74.68µm
net152,74.28µm
_1374_,73.35µm
_0942_,72.93µm
net120,72.92µm
net107,72.88µm
net173,72.82µm
net174,72.6µm
mantisaresult\[35\],72.52µm
mantisaB0\[12\],72.3µm
_0237_,72.285µm
_0264_,71.745µm
mantisaA0\[23\],71.5µm
_0329_,71.38µm
mantisaresult\[23\],71.375µm
_0226_,71.245µm
net232,71.1µm
mantisaAshift\[62\],71.04µm
net4,70.57µm
net140,70.56µm
net230,70.2µm
_0529_,70.1µm
clknet_leaf_23_clk,70.08µm
_0565_,69.66µm
mantisaresult\[33\],69.63µm
_1193_,68.79µm
_0805_,68.13µm
_0311_,68.08µm
_0306_,68µm
_0217_,67.835µm
net273,67.68µm
_0236_,67.34µm
_1501_,67.33µm
net131,67.31µm
_1021_,67.12µm
net116,67.06µm
_0744_,66.8µm
clknet_leaf_5_clk,66.72µm
net263,66.64µm
net209,66.46µm
net239,66.45µm
net255,66.4µm
net154,66.34µm
_1343_,66.14µm
net252,66.12µm
net238,66.02µm
clknet_leaf_7_clk,65.72µm
net118,65.61µm
_0807_,65.54µm
net9,65.215µm
mantisaAshift\[54\],64.4µm
mantisaAshift\[60\],64.3µm
_0817_,63.91µm
net109,63.84µm
_1392_,63.76µm
mantisaresult\[44\],63.67µm
mantisaAshift\[53\],63.62µm
clknet_leaf_10_clk,63.62µm
_1363_,63.44µm
mantisaB0\[11\],63.44µm
net233,63.38µm
_0822_,63.34µm
net153,63.3µm
mantisaAshift\[61\],63.155µm
_1648_,63.08µm
_0567_,62.98µm
_0480_,62.37µm
_1420_,62.28µm
net5,62.06µm
net117,62.04µm
_1131_,61.96µm
_1295_,61.92µm
net268,61.84µm
_1499_,61.68µm
mantisaAshift\[59\],61.32µm
_0259_,61.02µm
mantisaresult\[28\],61µm
net134,60.95µm
clknet_leaf_28_clk,60.68µm
_0215_,60.625µm
_0802_,60.46µm
net242,60.385µm
net162,60.32µm
_0328_,60.29µm
net307,60.28µm
_1359_,60.18µm
net266,60.16µm
_0820_,60µm
_1121_,59.96µm
_1571_,59.96µm
net311,59.905µm
_0477_,59.78µm
_0496_,59.78µm
_0561_,59.78µm
net267,59.3µm
_1572_,59.22µm
_0332_,59.18µm
_0453_,59.14µm
net246,59.12µm
_1542_,59.03µm
_0549_,58.82µm
_0799_,58.81µm
_0382_,58.78µm
_0270_,58.545µm
_1113_,58.44µm
_0221_,58.365µm
net254,58.34µm
mantisaAshift\[56\],58.22µm
_0431_,58.04µm
net264,58.04µm
net133,57.89µm
net245,57.88µm
mantisaresult\[22\],57.8µm
_0591_,57.36µm
mantisaresult\[41\],57.18µm
_1706_,57.13µm
_1758_,56.72µm
_0778_,56.69µm
_0428_,56.68µm
mantisaB0\[10\],56.34µm
_0818_,56.22µm
_0793_,56.1µm
mantisaresult\[62\],55.96µm
net144,55.615µm
mantisaAshift\[52\],55.6µm
_0852_,54.935µm
mantisaBshift\[26\],54.9µm
_0873_,54.86µm
net42,54.84µm
net115,54.36µm
net194,54.35µm
_0730_,54.32µm
_0293_,54.28µm
net258,54.22µm
mantisaresult\[61\],54.135µm
_0327_,53.54µm
net237,53.52µm
_0435_,53.4µm
_0449_,53.36µm
_0727_,53.2µm
net214,52.98µm
_1700_,52.84µm
net103,52.8µm
_1443_,52.69µm
mantisaB0\[8\],52.56µm
_0890_,52.5µm
_0373_,52.49µm
mantisaAshift\[55\],52.28µm
mantisaresult\[24\],52.25µm
_1422_,52.18µm
mantisaAshift\[58\],51.9µm
_0223_,51.725µm
_0931_,51.62µm
net257,51.6µm
mantisaresult\[27\],51.38µm
_0520_,51.26µm
net189,51.22µm
_0218_,51.125µm
_0862_,50.91µm
_0492_,50.9µm
net130,50.72µm
_0816_,50.6µm
net262,50.57µm
_0413_,50.44µm
net215,50.42µm
mantisaresult\[34\],50.28µm
_1558_,50.2µm
_0735_,50.04µm
clknet_leaf_3_clk,50µm
mantisaresult\[26\],49.92µm
_1433_,49.86µm
mantisaA0\[21\],49.82µm
_1104_,49.6µm
net210,49.54µm
net12,49.42µm
net241,49.23µm
_0551_,49.2µm
_0772_,48.78µm
mantisaAshift\[57\],48.72µm
_1559_,48.66µm
net141,48.565µm
mantisaresult\[45\],48.22µm
mantisaB0\[6\],48.02µm
_1757_,48µm
mantisaA0\[22\],47.98µm
net199,47.76µm
_1416_,47.7µm
net313,47.625µm
_1431_,47.6µm
_0213_,47.465µm
net34,47.44µm
net271,47.24µm
_0427_,47.1µm
net16,47.1µm
_0210_,46.84µm
_1153_,46.82µm
_0262_,46.805µm
_1160_,46.78µm
_0700_,46.68µm
_0222_,46.605µm
_0627_,46.48µm
_0757_,46.37µm
_0874_,46.35µm
_0850_,46.26µm
_0230_,46.105µm
_0367_,45.9µm
net6,45.705µm
_0718_,45.7µm
_0309_,45.66µm
_0743_,45.62µm
_0702_,45.58µm
_0737_,45.38µm
_1354_,45.3µm
_0232_,45.255µm
_1182_,45.22µm
net14,45.2µm
mantisaAshift\[43\],44.98µm
_0606_,44.74µm
net8,44.72µm
net198,44.62µm
_0629_,44.4µm
_0543_,44.38µm
net13,44.22µm
_0513_,44.175µm
net20,44.08µm
_1584_,43.84µm
net3,43.7µm
net41,43.56µm
_1339_,43.51µm
_1324_,43.505µm
clknet_leaf_4_clk,43.32µm
_0562_,43.2µm
_0361_,42.98µm
net354,42.96µm
_1387_,42.58µm
net195,42.54µm
_0501_,42.46µm
net270,42.35µm
mantisaAshift\[39\],41.84µm
_0445_,41.74µm
_1874_,41.7µm
_1369_,41.66µm
_1514_,41.63µm
_0317_,41.2µm
_0452_,40.97µm
net196,40.96µm
_0272_,40.565µm
_0977_,40.54µm
_1175_,40.52µm
_0394_,40.5µm
net138,40.46µm
net167,40.42µm
mantisaAshift\[40\],40.195µm
_0709_,40.16µm
_0954_,40.12µm
net1,40.05µm
_1548_,39.98µm
_0738_,39.92µm
_1471_,39.91µm
_1642_,39.82µm
_0224_,39.785µm
_0263_,39.565µm
_0482_,39.46µm
mantisaAshift\[42\],39.3µm
net145,39.16µm
net142,39.02µm
_1012_,38.96µm
_1597_,38.96µm
net259,38.96µm
_1385_,38.94µm
_0697_,38.885µm
net21,38.86µm
_1870_,38.78µm
net23,38.7µm
net35,38.61µm
_1428_,38.54µm
_0812_,38.42µm
_0312_,38.36µm
_0531_,38.325µm
_1429_,38.16µm
_0932_,38.1µm
_0247_,37.905µm
_0298_,37.86µm
